case_id,timestamp,analyst_id,severity,alert_type,asset_ip,escalated,time_to_close_mins,resolution_notes
CASE-00525,2026-07-31T20:39:00,SOC-A01,Critical,Unauthorized Access,10.0.1.20-APPSERVER,Yes,204,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00851,2026-09-14T12:00:00,SOC-A05,Medium,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,5,"Known issue, no action."
CASE-00437,2026-09-14T07:35:00,SOC-A04,Low,Policy Violation,10.0.4.10-AUTH-SERVER,No,78,Escalated to incident response team. Containment actions initiated.
CASE-00506,2026-09-09T13:53:00,SOC-A02,Medium,Anomalous Login,10.0.5.10-EMAIL-GW,No,98,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00250,2026-09-27T06:26:00,SOC-A04,Medium,Brute Force Attempt,10.0.5.10-EMAIL-GW,No,118,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00395,2026-09-03T04:40:00,SOC-A01,High,Data Exfiltration,10.0.1.10-WEBSERVER,No,141,Escalated to incident response team. Containment actions initiated.
CASE-00806,2026-07-25T20:00:00,SOC-A05,Critical,Lateral Movement,10.0.2.51-DB-CUSTOMER,No,3,No action required.
CASE-00873,2026-09-24T00:00:00,SOC-A01,High,Anomalous Login,10.0.2.51-DB-CUSTOMER,No,59,Investigated within SLA. Closed.
CASE-00018,2026-09-19T09:53:00,SOC-A02,Medium,Phishing Email,10.0.5.10-EMAIL-GW,No,29,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00414,2026-09-11T18:09:00,SOC-A04,Medium,Lateral Movement,10.0.1.20-APPSERVER,No,79,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00074,2026-08-18T08:48:00,SOC-A03,Critical,Brute Force Attempt,10.0.4.10-AUTH-SERVER,Yes,50,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00157,2026-08-06T19:19:00,SOC-A02,Low,Policy Violation,10.0.5.10-EMAIL-GW,No,29,Escalated to incident response team. Containment actions initiated.
CASE-00312,2026-07-13T13:14:00,SOC-A04,High,Brute Force Attempt,10.0.3.20-PAYMENT-PROC,Yes,228,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00717,2026-08-04T13:05:00,SOC-A03,Medium,Lateral Movement,10.0.1.20-APPSERVER,No,67,Escalated to incident response team. Containment actions initiated.
CASE-00671,2026-07-24T06:32:00,SOC-A01,Critical,DDoS Indicator,10.0.5.10-EMAIL-GW,Yes,40,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00902,2026-09-23T15:00:00,SOC-A02,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,31,Blocked source IP. Alert closed.
CASE-00032,2026-08-06T13:44:00,SOC-A04,Critical,Lateral Movement,10.0.6.10-WORKSTATION-POOL,Yes,69,Escalated to incident response team. Containment actions initiated.
CASE-00646,2026-07-14T05:50:00,SOC-A03,Low,Data Exfiltration,10.0.4.10-AUTH-SERVER,No,94,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00649,2026-08-20T00:46:00,SOC-A01,Low,Data Exfiltration,10.0.3.20-PAYMENT-PROC,No,76,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00610,2026-08-11T15:29:00,SOC-A03,Critical,Data Exfiltration,10.0.5.10-EMAIL-GW,Yes,170,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00613,2026-08-03T04:19:00,SOC-A02,Low,Lateral Movement,10.0.5.10-EMAIL-GW,No,54,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00891,2026-09-24T19:00:00,SOC-A02,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,30,Blocked source IP. Alert closed.
CASE-00008,2026-07-30T03:24:00,SOC-A03,Low,Phishing Email,10.0.5.20-VPN-ENDPOINT,No,30,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00849,2026-08-06T05:00:00,SOC-A05,High,Unauthorized Access,10.0.2.50-DB-CORE-BANKING,No,10,"False positive, closed."
CASE-00389,2026-08-06T09:20:00,SOC-A01,Low,Privilege Escalation,10.0.4.10-AUTH-SERVER,No,57,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00637,2026-07-25T16:43:00,SOC-A02,Medium,Lateral Movement,10.0.5.10-EMAIL-GW,No,88,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00228,2026-07-17T20:19:00,SOC-A02,Medium,Anomalous Login,10.0.1.10-WEBSERVER,No,85,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00545,2026-09-07T06:16:00,SOC-A01,High,Brute Force Attempt,10.0.5.20-VPN-ENDPOINT,Yes,216,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00676,2026-07-27T20:08:00,SOC-A02,Medium,Data Exfiltration,10.0.5.20-VPN-ENDPOINT,No,120,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00622,2026-08-29T22:50:00,SOC-A02,Low,Lateral Movement,10.0.1.10-WEBSERVER,No,17,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00071,2026-09-01T07:17:00,SOC-A04,Medium,Unauthorized Access,10.0.1.10-WEBSERVER,No,53,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00034,2026-09-03T16:10:00,SOC-A01,Low,Data Exfiltration,10.0.5.10-EMAIL-GW,No,118,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00333,2026-08-07T13:58:00,SOC-A02,Critical,Phishing Email,10.0.1.10-WEBSERVER,Yes,119,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00791,2026-09-14T05:21:00,SOC-A02,Low,Unauthorized Access,10.0.3.20-PAYMENT-PROC,No,106,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00188,2026-09-03T17:53:00,SOC-A01,High,Anomalous Login,10.0.5.10-EMAIL-GW,Yes,199,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00072,2026-08-29T04:39:00,SOC-A01,Medium,Unauthorized Access,10.0.4.10-AUTH-SERVER,No,20,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00751,2026-09-03T08:26:00,SOC-A03,Critical,Anomalous Login,10.0.5.10-EMAIL-GW,Yes,38,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00031,2026-07-28T12:57:00,SOC-A01,Low,Lateral Movement,10.0.4.10-AUTH-SERVER,No,59,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00872,2026-07-08T15:00:00,SOC-A01,Critical,Brute Force Attempt,10.0.1.20-APPSERVER,No,57,Investigated within SLA. Closed.
CASE-00406,2026-08-20T15:01:00,SOC-A02,Low,Privilege Escalation,10.0.4.10-AUTH-SERVER,No,55,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00896,2026-07-07T02:00:00,SOC-A02,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,36,Blocked source IP. Alert closed.
CASE-00013,2026-08-01T23:35:00,SOC-A04,Medium,Unauthorized Access,10.0.5.20-VPN-ENDPOINT,No,84,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00757,2026-07-08T20:30:00,SOC-A01,Medium,Lateral Movement,10.0.5.10-EMAIL-GW,No,94,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00718,2026-09-06T09:11:00,SOC-A01,Low,Privilege Escalation,10.0.6.10-WORKSTATION-POOL,No,109,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00257,2026-07-18T03:39:00,SOC-A02,High,DDoS Indicator,10.0.1.20-APPSERVER,No,42,Escalated to incident response team. Containment actions initiated.
CASE-00026,2026-09-12T18:30:00,SOC-A04,Low,Malware Detection,10.0.4.10-AUTH-SERVER,No,34,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00201,2026-07-19T09:27:00,SOC-A02,Low,Unauthorized Access,10.0.3.20-PAYMENT-PROC,No,83,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00575,2026-07-11T19:02:00,SOC-A03,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,212,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00797,2026-09-18T11:55:00,SOC-A02,High,Privilege Escalation,10.0.5.10-EMAIL-GW,No,148,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00210,2026-09-02T22:31:00,SOC-A03,Low,Malware Detection,10.0.6.10-WORKSTATION-POOL,No,112,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00527,2026-07-06T09:57:00,SOC-A01,Medium,Data Exfiltration,10.0.3.20-PAYMENT-PROC,No,22,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00723,2026-09-20T06:20:00,SOC-A03,Low,Phishing Email,10.0.3.20-PAYMENT-PROC,No,78,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00264,2026-07-25T03:21:00,SOC-A03,Low,Data Exfiltration,10.0.4.10-AUTH-SERVER,No,101,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00324,2026-08-31T10:11:00,SOC-A03,Critical,Policy Violation,10.0.3.20-PAYMENT-PROC,No,218,Escalated to incident response team. Containment actions initiated.
CASE-00747,2026-08-23T04:18:00,SOC-A02,Critical,Malware Detection,10.0.5.20-VPN-ENDPOINT,Yes,64,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00629,2026-07-06T18:50:00,SOC-A02,Medium,Malware Detection,10.0.5.20-VPN-ENDPOINT,No,57,Escalated to incident response team. Containment actions initiated.
CASE-00297,2026-08-12T07:24:00,SOC-A04,Medium,Phishing Email,10.0.1.20-APPSERVER,No,80,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00707,2026-09-02T05:56:00,SOC-A03,Medium,Brute Force Attempt,10.0.5.20-VPN-ENDPOINT,No,34,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00818,2026-07-24T11:00:00,SOC-A05,Critical,Brute Force Attempt,10.0.1.20-APPSERVER,No,4,Duplicate alert.
CASE-00456,2026-07-17T20:11:00,SOC-A02,Medium,Anomalous Login,10.0.1.10-WEBSERVER,No,42,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00798,2026-07-07T06:07:00,SOC-A04,High,Data Exfiltration,10.0.5.20-VPN-ENDPOINT,Yes,157,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00576,2026-09-20T15:28:00,SOC-A03,Low,Brute Force Attempt,10.0.6.10-WORKSTATION-POOL,No,34,Escalated to incident response team. Containment actions initiated.
CASE-00783,2026-07-25T04:02:00,SOC-A02,Low,Unauthorized Access,10.0.5.20-VPN-ENDPOINT,No,72,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00486,2026-07-23T01:54:00,SOC-A03,Low,Malware Detection,10.0.6.10-WORKSTATION-POOL,No,64,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00685,2026-09-27T10:55:00,SOC-A04,Medium,Brute Force Attempt,10.0.1.20-APPSERVER,No,61,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00475,2026-07-22T02:52:00,SOC-A04,Low,DDoS Indicator,10.0.3.20-PAYMENT-PROC,No,103,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00424,2026-08-27T00:16:00,SOC-A01,Low,Lateral Movement,10.0.5.20-VPN-ENDPOINT,No,54,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00397,2026-08-27T08:14:00,SOC-A02,Low,Anomalous Login,10.0.1.20-APPSERVER,No,109,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00443,2026-09-11T18:37:00,SOC-A01,High,Lateral Movement,10.0.1.10-WEBSERVER,Yes,174,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00271,2026-08-23T22:35:00,SOC-A02,Critical,Anomalous Login,10.0.6.10-WORKSTATION-POOL,Yes,225,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00108,2026-08-06T21:25:00,SOC-A01,High,Phishing Email,10.0.5.10-EMAIL-GW,Yes,146,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00176,2026-09-19T10:09:00,SOC-A04,Medium,Lateral Movement,10.0.4.10-AUTH-SERVER,No,90,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00351,2026-08-14T02:28:00,SOC-A02,High,Anomalous Login,10.0.1.10-WEBSERVER,No,83,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00239,2026-08-06T17:00:00,SOC-A02,High,Phishing Email,10.0.4.10-AUTH-SERVER,No,97,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00763,2026-07-07T05:29:00,SOC-A04,Low,DDoS Indicator,10.0.3.20-PAYMENT-PROC,No,105,Escalated to incident response team. Containment actions initiated.
CASE-00231,2026-09-18T20:01:00,SOC-A03,Medium,Lateral Movement,10.0.5.20-VPN-ENDPOINT,No,92,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00065,2026-09-09T14:57:00,SOC-A04,Low,Lateral Movement,10.0.6.10-WORKSTATION-POOL,No,67,Escalated to incident response team. Containment actions initiated.
CASE-00266,2026-09-04T10:05:00,SOC-A02,Medium,Policy Violation,10.0.1.10-WEBSERVER,No,27,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00711,2026-09-26T10:21:00,SOC-A01,Low,Data Exfiltration,10.0.5.10-EMAIL-GW,No,116,Escalated to incident response team. Containment actions initiated.
CASE-00045,2026-07-10T22:57:00,SOC-A03,Low,DDoS Indicator,10.0.1.10-WEBSERVER,No,84,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00778,2026-09-12T00:32:00,SOC-A04,High,Unauthorized Access,10.0.6.10-WORKSTATION-POOL,Yes,152,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00276,2026-09-13T02:02:00,SOC-A01,Medium,Brute Force Attempt,10.0.5.20-VPN-ENDPOINT,No,79,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00567,2026-07-30T02:18:00,SOC-A04,Medium,Privilege Escalation,10.0.5.10-EMAIL-GW,No,42,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00343,2026-09-04T12:26:00,SOC-A04,Medium,Data Exfiltration,10.0.5.10-EMAIL-GW,No,64,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00353,2026-09-11T11:34:00,SOC-A02,Low,Lateral Movement,10.0.5.10-EMAIL-GW,No,51,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00342,2026-09-25T04:20:00,SOC-A01,Low,Phishing Email,10.0.3.20-PAYMENT-PROC,No,33,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00468,2026-09-26T12:33:00,SOC-A02,Low,Privilege Escalation,10.0.1.10-WEBSERVER,No,27,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00090,2026-07-30T03:46:00,SOC-A02,Low,Privilege Escalation,10.0.1.10-WEBSERVER,No,34,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00516,2026-08-19T13:50:00,SOC-A01,Critical,Lateral Movement,10.0.3.20-PAYMENT-PROC,No,33,Escalated to incident response team. Containment actions initiated.
CASE-00089,2026-08-24T23:35:00,SOC-A04,Low,Lateral Movement,10.0.5.20-VPN-ENDPOINT,No,44,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00541,2026-07-25T10:31:00,SOC-A03,Medium,Anomalous Login,10.0.5.10-EMAIL-GW,No,98,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00170,2026-08-07T03:25:00,SOC-A02,Low,Anomalous Login,10.0.3.20-PAYMENT-PROC,No,112,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00200,2026-07-09T03:53:00,SOC-A01,Critical,Anomalous Login,10.0.5.10-EMAIL-GW,No,191,Escalated to incident response team. Containment actions initiated.
CASE-00248,2026-07-22T16:40:00,SOC-A04,High,Privilege Escalation,10.0.6.10-WORKSTATION-POOL,No,67,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00811,2026-08-05T00:00:00,SOC-A05,Critical,Privilege Escalation,10.0.2.51-DB-CUSTOMER,No,3,"Known issue, no action."
CASE-00017,2026-07-15T09:27:00,SOC-A03,Low,Data Exfiltration,10.0.1.10-WEBSERVER,No,74,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00793,2026-07-21T00:56:00,SOC-A01,Medium,Malware Detection,10.0.1.10-WEBSERVER,No,32,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00802,2026-07-26T23:00:00,SOC-A05,Critical,Privilege Escalation,10.0.1.20-APPSERVER,No,3,No action required.
CASE-00847,2026-08-17T12:00:00,SOC-A05,High,Brute Force Attempt,10.0.3.10-SWIFT-GATEWAY,No,6,Duplicate alert.
CASE-00459,2026-08-08T21:06:00,SOC-A03,Medium,Phishing Email,10.0.3.20-PAYMENT-PROC,No,91,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00016,2026-09-06T08:35:00,SOC-A01,High,Lateral Movement,10.0.1.10-WEBSERVER,No,204,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00534,2026-08-06T14:24:00,SOC-A01,Low,Data Exfiltration,10.0.5.20-VPN-ENDPOINT,No,70,Escalated to incident response team. Containment actions initiated.
CASE-00143,2026-08-20T08:12:00,SOC-A04,Critical,Privilege Escalation,10.0.6.10-WORKSTATION-POOL,No,53,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00908,2026-09-10T21:00:00,SOC-A02,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,43,Blocked source IP. Alert closed.
CASE-00877,2026-09-06T06:00:00,SOC-A03,High,Lateral Movement,10.0.2.50-DB-CORE-BANKING,No,59,Investigated within SLA. Closed.
CASE-00568,2026-07-01T18:33:00,SOC-A04,Low,Privilege Escalation,10.0.1.10-WEBSERVER,No,93,Verified phishing payload in sandbox. User credentials rotated. Awareness alert sent.
CASE-00813,2026-07-06T15:00:00,SOC-A05,High,Unauthorized Access,10.0.5.20-VPN-ENDPOINT,No,4,"Known issue, no action."
CASE-00010,2026-07-21T14:24:00,SOC-A02,Low,Phishing Email,10.0.5.20-VPN-ENDPOINT,No,97,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00514,2026-09-08T01:22:00,SOC-A02,High,DDoS Indicator,10.0.1.10-WEBSERVER,No,220,Analyzed authentication logs. Confirmed brute force from known botnet. IP range blocked.
CASE-00142,2026-08-26T14:15:00,SOC-A03,High,Phishing Email,10.0.1.10-WEBSERVER,No,169,Investigated source IP. Confirmed malicious. Blocked at firewall and notified asset owner.
CASE-00756,2026-08-07T05:02:00,SOC-A03,Medium,Anomalous Login,10.0.5.10-EMAIL-GW,No,103,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00385,2026-07-30T23:32:00,SOC-A01,Low,Brute Force Attempt,10.0.6.10-WORKSTATION-POOL,No,41,Cross-referenced with SIEM correlation rule. Confirmed policy violation. HR notified.
CASE-00410,2026-08-14T18:32:00,SOC-A02,Low,Phishing Email,10.0.3.20-PAYMENT-PROC,No,13,Escalated to incident response team. Containment actions initiated.
CASE-00111,2026-07-27T08:35:00,SOC-A04,Low,Policy Violation,10.0.3.20-PAYMENT-PROC,No,99,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00511,2026-07-15T11:35:00,SOC-A04,Medium,DDoS Indicator,10.0.5.10-EMAIL-GW,No,96,Traced lateral movement path. Three additional hosts identified. Full sweep initiated.
CASE-00905,2026-07-05T13:00:00,SOC-A01,High,Brute Force Attempt,10.0.4.10-AUTH-SERVER,No,27,Blocked source IP. Alert closed.
CASE-00710,2026-08-02T02:19:00,SOC-A03,Low,Brute Force Attempt,10.0.5.10-EMAIL-GW,No,108,Correlated with threat intel feed. IOC confirmed. Endpoint isolated and reimaged.
CASE-00380,2026-09-24T23:42:00,SOC-A01,High,Brute Force Attempt,10.0.1.10-WEBSERVER,Yes,211,Reviewed packet capture. Confirmed false positive due to scheduled backup job.
CASE-00853,2026-08-18T09:00:00,SOC-A05,High,Brute Force Attempt,10.0.3.10-SWIFT-GATEWAY,No,10,Duplicate alert.
