incidentNumber,title,severity,status,classification,createdTimeUtc,lastActivityTimeUtc,alertCount,affectedEntity,sourceIps,owner,rule
1001,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,Undetermined,2023-02-01T03:59:46Z,2023-02-01T20:06:05Z,4,SPG-ENG-233,111.176.138.157;15.206.191.211;54.163.130.178;9.137.163.86,,NET-01
1002,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2020-07-16T10:36:23Z,2020-07-16T16:26:13Z,3,SPG-RTU-370,114.34.66.25;45.4.170.146;202.71.162.43,soc.l3@sahyadripower.example,NET-01
1079,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2021-09-17T14:44:01Z,2021-09-17T19:42:12Z,2,SPG-PRX-070,89.252.131.217;148.67.151.216,,NET-01
1080,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2022-07-16T02:09:46Z,2022-07-16T14:40:45Z,2,SPG-SUB-316,77.46.196.64;204.169.213.161,,NET-01
1081,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2022-06-06T03:33:14Z,2022-06-06T22:31:19Z,2,SPG-ENG-193,90.98.25.74;202.211.238.243,soc.l3@sahyadripower.example,NET-01
1082,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2023-03-18T03:31:22Z,2023-03-18T14:10:44Z,2,SPG-HIS-264,146.8.226.172;192.214.217.199,,NET-01
1083,NET-01: High severity Malware traffic permitted through perimeter,High,Active,TruePositive,2021-07-29T06:15:26Z,2021-07-29T23:53:55Z,2,SPG-EMS-309,131.176.4.134;63.188.217.135,soc.l3@sahyadripower.example,NET-01
1084,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-06-18T05:27:46Z,2021-06-18T19:17:53Z,2,SPG-HIS-208,132.129.139.151;206.217.123.31,soc.l3@sahyadripower.example,NET-01
1085,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2021-07-19T04:37:58Z,2021-07-19T13:19:01Z,2,SPG-RTU-350,128.254.6.188;63.120.138.16,,NET-01
1086,NET-01: High severity Malware traffic permitted through perimeter,High,New,TruePositive,2023-02-08T03:29:26Z,2023-02-08T23:47:16Z,2,SPG-WEB-013,62.123.242.50;101.183.200.191,,NET-01
1087,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2020-06-08T10:59:30Z,2020-06-08T11:30:59Z,2,SPG-WEB-089,17.191.46.185;134.164.29.79,soc.l2@sahyadripower.example,NET-01
1088,NET-01: High severity Malware traffic permitted through perimeter,High,Active,TruePositive,2022-07-14T00:28:44Z,2022-07-14T04:20:38Z,2,SPG-PLC-291,68.84.47.27;41.25.38.212,soc.l2@sahyadripower.example,NET-01
1089,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2021-04-28T02:54:32Z,2021-04-28T14:57:28Z,2,SPG-HIS-212,126.8.127.204;59.205.222.191,soc.l2@sahyadripower.example,NET-01
1090,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-11-22T19:57:24Z,2022-11-22T20:20:39Z,2,SPG-WEB-093,36.215.17.52;214.187.122.149,soc.l3@sahyadripower.example,NET-01
1091,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-11-25T10:42:27Z,2022-11-25T18:23:41Z,2,SPG-PLC-371,204.57.149.75;133.30.10.108,,NET-01
1092,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2021-10-21T05:39:35Z,2021-10-21T06:56:52Z,2,SPG-PRX-094,211.109.164.106;107.147.240.222,soc.l3@sahyadripower.example,NET-01
1093,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2022-09-19T09:54:50Z,2022-09-19T23:23:59Z,2,SPG-RTU-278,34.123.51.232;205.253.42.187,soc.l3@sahyadripower.example,NET-01
1094,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,Undetermined,2021-07-27T05:42:44Z,2021-07-27T19:40:18Z,2,SPG-HIS-268,180.70.235.43;152.70.178.36,soc.l2@sahyadripower.example,NET-01
1095,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2021-04-08T09:42:50Z,2021-04-08T17:33:13Z,2,SPG-SUB-292,115.133.46.73;137.247.129.39,soc.l2@sahyadripower.example,NET-01
1096,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2023-06-08T20:18:18Z,2023-06-08T21:03:07Z,2,SPG-HIS-148,37.249.19.2;5.78.141.108,soc.l3@sahyadripower.example,NET-01
1097,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2023-05-05T13:48:04Z,2023-05-05T16:35:34Z,2,SPG-EMS-309,116.173.244.113;101.92.86.138,,NET-01
1098,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2021-06-22T02:19:14Z,2021-06-22T13:30:30Z,2,SPG-WEB-081,12.18.70.206;210.168.84.156,,NET-01
1099,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-07-21T05:59:27Z,2021-07-21T16:59:26Z,2,SPG-ENG-233,201.248.2.95;5.198.175.155,,NET-01
1100,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-03-16T06:47:06Z,2022-03-16T23:01:03Z,2,SPG-RTU-394,82.118.18.66;218.179.97.6,soc.l2@sahyadripower.example,NET-01
1101,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,TruePositive,2020-03-13T11:05:15Z,2020-03-13T17:44:30Z,2,SPG-SUB-280,51.212.138.1;61.47.111.249,,NET-01
1102,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-09-08T15:03:55Z,2021-09-08T19:00:22Z,2,SPG-WEB-061,158.152.120.89;188.84.132.253,soc.l2@sahyadripower.example,NET-01
1103,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2020-11-23T12:03:11Z,2020-11-23T23:01:39Z,2,SPG-DNS-008,116.46.117.17;128.112.79.188,soc.l2@sahyadripower.example,NET-01
1104,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,TruePositive,2020-08-28T04:16:09Z,2020-08-28T11:37:10Z,2,SPG-FTP-123,134.153.171.232;22.232.153.181,soc.l3@sahyadripower.example,NET-01
1105,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2020-07-11T16:59:46Z,2020-07-11T20:39:23Z,2,SPG-DNS-100,160.87.212.64;222.113.184.106,soc.l2@sahyadripower.example,NET-01
1106,NET-01: High severity Malware traffic permitted through perimeter,High,Active,TruePositive,2021-06-04T00:52:39Z,2021-06-04T13:54:48Z,2,SPG-ENG-221,13.158.223.100;96.230.10.84,,NET-01
1107,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-03-01T03:49:56Z,2022-03-01T06:18:01Z,2,SPG-WEB-105,40.238.204.30;62.61.84.21,soc.l3@sahyadripower.example,NET-01
1108,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2020-09-19T08:05:22Z,2020-09-19T12:07:10Z,2,SPG-WEB-013,42.245.145.162;192.26.252.202,,NET-01
1109,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-02-26T00:47:27Z,2020-02-26T09:59:51Z,2,SPG-ENG-169,180.60.156.208;94.154.134.216,soc.l2@sahyadripower.example,NET-01
